Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Northern Parula,Setophaga americana,950033,890949,NOPA,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Scarlet Tanager,Piranga olivacea,179883,88071,SCTA,FALSE,TRUE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0069,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,179333,83867,GRSP,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
